original_row_index,generated_version,item_number,list_item,Full verb phrase,Causality,NP1,verb,NP2,because,pronoun,präposition,adjective + verb,and,NP final,verb final,Generated-Sentence,np2_replacement_status,NP1 - male,NP1 - female,NP2 - male,NP2 - female,verb_bias,Unnamed: 7,Unnamed: 18,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,verb_bias.1,new verb,old verb,german_verb_freq,german_verb_length,Unnamed: 30,Previous-Sentences (04/2026),adj,german_adj_freq,german_adj_length,Susanne_avgRating_Score,Susanne_avgRating_Score.1,20_Best_Verbs,adj_amb
206,both_female,3,2,störte,NP1-Causality,Die Bärin,störte,"die Löwin,",weil,sie,am späten Nachmittag,aggressiv war,und ,Knurren,von sich gab,"Die Bärin störte die Löwin, weil sie am späten Nachmittag aggressiv war und Knurren von sich gab.",ok_prefix_keep_particle_or_punctuation,Der Bär,Die Bärin,den Löwen,die Löwin,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9,87.5,87.5,optimal,nonamb
206,swapped,4,2,störte,NP1-Causality,Die Bärin,störte,"den Löwen,",weil,sie,am späten Nachmittag,aggressiv war,und ,Knurren,von sich gab,"Die Bärin störte den Löwen, weil sie am späten Nachmittag aggressiv war und Knurren von sich gab.",ok_prefix_keep_particle_or_punctuation,Der Bär,Die Bärin,den Löwen,die Löwin,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9,87.5,87.5,optimal,nonamb
207,original,5,2,störte,NP2-Causality,Der Bär,störte,"die Löwin,",weil,sie,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Der Bär,Die Bärin,den Löwen,die Löwin,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
207,both_male,6,2,störte,NP2-Causality,Der Bär,störte,"den Löwen,",weil,er,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Der Bär störte den Löwen, weil er am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Der Bär,Die Bärin,den Löwen,die Löwin,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
207,both_female,7,2,störte,NP2-Causality,Die Bärin,störte,"die Löwin,",weil,sie,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Die Bärin störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Der Bär,Die Bärin,den Löwen,die Löwin,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
207,swapped,8,2,störte,NP2-Causality,Die Bärin,störte,"den Löwen,",weil,er,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Die Bärin störte den Löwen, weil er am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Der Bär,Die Bärin,den Löwen,die Löwin,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
222,original,1,3,ärgerte,NP1-Causality,Der Schäferhund,ärgerte,"die Besitzerin,",weil ,er,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
222,both_male,2,3,ärgerte,NP1-Causality,Der Schäferhund,ärgerte,"der Besitzer,",weil ,er,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Der Schäferhund ärgerte der Besitzer, weil er um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
222,both_female,3,3,ärgerte,NP1-Causality,Die Schäferhündin,ärgerte,"die Besitzerin,",weil ,sie,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Die Schäferhündin ärgerte die Besitzerin, weil sie um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
222,swapped,4,3,ärgerte,NP1-Causality,Die Schäferhündin,ärgerte,"der Besitzer,",weil ,sie,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Die Schäferhündin ärgerte der Besitzer, weil sie um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
223,original,5,3,ärgerte,NP2-Causality,Der Schäferhund,ärgerte,"die Besitzerin,",weil ,sie,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
223,both_male,6,3,ärgerte,NP2-Causality,Der Schäferhund,ärgerte,"der Besitzer,",weil ,er,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Der Schäferhund ärgerte der Besitzer, weil er um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
223,both_female,7,3,ärgerte,NP2-Causality,Die Schäferhündin,ärgerte,"die Besitzerin,",weil ,sie,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Die Schäferhündin ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
223,swapped,8,3,ärgerte,NP2-Causality,Die Schäferhündin,ärgerte,"der Besitzer,",weil ,er,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Die Schäferhündin ärgerte der Besitzer, weil er um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Der Schäferhund,Die Schäferhündin,der Besitzer,die Besitzerin,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
208,original,1,4,verärgerte,NP1-Causality,Der Schaffner,verärgerte,"die Reisende,",weil,er,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
208,both_male,2,4,verärgerte,NP1-Causality,Der Schaffner,verärgerte,"den Reisenden,",weil,er,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Der Schaffner verärgerte den Reisenden, weil er am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
208,both_female,3,4,verärgerte,NP1-Causality,Die Schaffnerin,verärgerte,"die Reisende,",weil,sie,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Die Schaffnerin verärgerte die Reisende, weil sie am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
208,swapped,4,4,verärgerte,NP1-Causality,Die Schaffnerin,verärgerte,"den Reisenden,",weil,sie,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Die Schaffnerin verärgerte den Reisenden, weil sie am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
209,original,5,4,verärgerte,NP2-Causality,Der Schaffner,verärgerte,"die Reisende,",weil,sie,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Der Schaffner verärgerte die Reisende, weil sie am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
209,both_male,6,4,verärgerte,NP2-Causality,Der Schaffner,verärgerte,"den Reisenden,",weil,er,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Der Schaffner verärgerte den Reisenden, weil er am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
209,both_female,7,4,verärgerte,NP2-Causality,Die Schaffnerin,verärgerte,"die Reisende,",weil,sie,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Die Schaffnerin verärgerte die Reisende, weil sie am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
209,swapped,8,4,verärgerte,NP2-Causality,Die Schaffnerin,verärgerte,"den Reisenden,",weil,er,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Die Schaffnerin verärgerte den Reisenden, weil er am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Der Schaffner,Die Schaffnerin,den Reisenden,die Reisende,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
10,original,1,5,bewunderte,NP1-Causality,Der Liebhaber,bewunderte,"die Komponistin,",weil,er,von Anfang an,verzaubert war,und,die Musik,genoss,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
10,both_male,2,5,bewunderte,NP1-Causality,Der Liebhaber,bewunderte,"den Komponisten,",weil,er,von Anfang an,verzaubert war,und,die Musik,genoss,"Der Liebhaber bewunderte den Komponisten, weil er von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
10,both_female,3,5,bewunderte,NP1-Causality,Die Liebhaberin,bewunderte,"die Komponistin,",weil,sie,von Anfang an,verzaubert war,und,die Musik,genoss,"Die Liebhaberin bewunderte die Komponistin, weil sie von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
10,swapped,4,5,bewunderte,NP1-Causality,Die Liebhaberin,bewunderte,"den Komponisten,",weil,sie,von Anfang an,verzaubert war,und,die Musik,genoss,"Die Liebhaberin bewunderte den Komponisten, weil sie von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
11,original,5,5,bewunderte,NP2-Causality,Der Liebhaber,bewunderte,"die Komponistin,",weil,sie,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
11,both_male,6,5,bewunderte,NP2-Causality,Der Liebhaber,bewunderte,"den Komponisten,",weil,er,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Der Liebhaber bewunderte den Komponisten, weil er von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
11,both_female,7,5,bewunderte,NP2-Causality,Die Liebhaberin,bewunderte,"die Komponistin,",weil,sie,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Die Liebhaberin bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
11,swapped,8,5,bewunderte,NP2-Causality,Die Liebhaberin,bewunderte,"den Komponisten,",weil,er,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Die Liebhaberin bewunderte den Komponisten, weil er von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Der Liebhaber,Die Liebhaberin,den Komponisten,die Komponistin,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
32,original,1,6,beklatschte,NP1-Causality,Der Zuschauer,beklatschte,"die Puppenspielerin,",weil,er,während der Vorstellung,begeistert war,und,die Bewegungen,verfolgte,"Der Zuschauer beklatschte die Puppenspielerin, weil er während der Vorstellung begeistert war und die Bewegungen verfolgte.",ok_prefix_keep_particle_or_punctuation,Der Zuschauer,Die Zuschauerin,den Puppenspieler,die Puppenspielerin,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil er am späten Nachmittag begeistert war und das Lob aussprach.",begeistert,34.48,10,37.5,37.5,suboptimal,nonamb
32,both_male,2,6,beklatschte,NP1-Causality,Der Zuschauer,beklatschte,"den Puppenspieler,",weil,er,während der Vorstellung,begeistert war,und,die Bewegungen,verfolgte,"Der Zuschauer beklatschte den Puppenspieler, weil er während der Vorstellung begeistert war und die Bewegungen verfolgte.",ok_prefix_keep_particle_or_punctuation,Der Zuschauer,Die Zuschauerin,den Puppenspieler,die Puppenspielerin,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil er am späten Nachmittag begeistert war und das Lob aussprach.",begeistert,34.48,10,37.5,37.5,suboptimal,nonamb
32,both_female,3,6,beklatschte,NP1-Causality,Die Zuschauerin,beklatschte,"die Puppenspielerin,",weil,sie,während der Vorstellung,begeistert war,und,die Bewegungen,verfolgte,"Die Zuschauerin beklatschte die Puppenspielerin, weil sie während der Vorstellung begeistert war und die Bewegungen verfolgte.",ok_prefix_keep_particle_or_punctuation,Der Zuschauer,Die Zuschauerin,den Puppenspieler,die Puppenspielerin,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil er am späten Nachmittag begeistert war und das Lob aussprach.",begeistert,34.48,10,37.5,37.5,suboptimal,nonamb
